name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barranquilla,2024-01-01,32.9,26,28.5,39.2,26,32,23.7,75.8,0,0,0,,0,0,48.6,28.9,34.6,1011.1,21.4,10,241,20.8,8,30,2024-01-01T06:18:01,2024-01-01T17:47:37,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-02,32,26,28.2,38,26,31.6,23.7,77.2,0,0,0,,0,0,45.7,28.1,35.8,1010.4,18.5,10,231.8,20.1,8,30,2024-01-02T06:18:25,2024-01-02T17:48:09,0.72,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-03,33,26,28.5,40.3,26,32.3,24.3,78.7,0,0,0,,0,0,43.6,27.7,32.9,1010.5,29.6,10,234.3,20.3,8,30,2024-01-03T06:18:47,2024-01-03T17:48:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-04,33,24.9,28.6,40.6,24.9,32.6,24.6,79.9,0,0,0,,0,0,50,20.4,32.2,1011,39.4,9.6,241.6,20.8,8,30,2024-01-04T06:19:10,2024-01-04T17:49:15,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-05,32.8,26,28.4,39.1,26,32.2,24.6,80.7,0,0,0,,0,0,48.2,23.8,39.7,1010.7,43.3,9.5,236.1,20.3,9,30,2024-01-05T06:19:31,2024-01-05T17:49:48,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-06,32,25,28.4,38,25,31.7,23.3,74.3,0,0,0,,0,0,40,22.1,37.8,1009.2,35.6,10,239.3,20.6,8,30,2024-01-06T06:19:51,2024-01-06T17:50:21,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-07,33.1,25.9,28.5,39.3,25.9,32,23.9,76.6,0,0,0,,0,0,54.7,25.6,34.5,1008.8,14.1,10,247,21.5,9,10,2024-01-07T06:20:11,2024-01-07T17:50:54,0.88,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-08,32.1,26.7,28.6,37.9,28.8,32.2,23.1,72.6,0,0,0,,0,0,54.7,29.1,34.7,1008.1,23.2,10,246.3,21.5,9,10,2024-01-08T06:20:30,2024-01-08T17:51:26,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-09,34,25.9,29,40.5,25.9,32.3,23.1,71.7,0,0,0,,0,0,39.6,32.7,41.9,1008.7,32.3,9.9,247.2,21.5,9,30,2024-01-09T06:20:48,2024-01-09T17:51:59,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-10,35.1,24.8,28.5,41.9,24.8,31.6,24,78.5,0,0,0,,0,0,48.2,20.3,35.5,1009.7,34,8.7,249.2,21.6,9,60,2024-01-10T06:21:05,2024-01-10T17:52:31,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-11,33,25.8,28.2,39.3,25.8,31.7,24.4,80.7,0,0,0,,0,0,45.4,22,40.2,1009.8,42.8,9.1,246.3,21.5,9,30,2024-01-11T06:21:21,2024-01-11T17:53:03,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-12,33,24,27.9,40.5,24,31.2,24,80.2,0,0,0,,0,0,49.7,20.7,29.6,1009.8,30.8,10.1,245.3,21.4,8,30,2024-01-12T06:21:36,2024-01-12T17:53:35,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999,remote"
barranquilla,2024-01-13,33.1,25.9,28.5,42,25.9,32.4,24.5,79.8,0,0,0,,0,0,48.2,21.8,32.5,1010.5,36.7,9,246.4,21.6,9,30,2024-01-13T06:21:50,2024-01-13T17:54:07,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-14,32.9,25,28.2,40.2,25,31.7,24.4,80.7,0,0,0,,0,0,48.6,20.4,31.7,1010.2,37.4,9.3,248.4,21.6,9,30,2024-01-14T06:22:03,2024-01-14T17:54:38,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-15,32.1,25.8,28.5,38,25.8,32.1,23.8,76.3,0,0,0,,0,0,49,24.1,33,1008.7,13.5,10,250.3,21.6,9,10,2024-01-15T06:22:16,2024-01-15T17:55:10,0.15,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-16,34.2,25.9,29.1,41.1,25.9,33.3,24.2,76,0,0,0,,0,0,47.9,29.4,32.6,1007.7,18.8,9.9,250.2,21.6,9,30,2024-01-16T06:22:27,2024-01-16T17:55:40,0.18,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-17,33.1,26.8,29,40.6,29.6,33.4,24.2,75.9,0,0,0,,0,0,52.2,25.8,32.1,1009.1,35.3,10,250.4,21.6,9,30,2024-01-17T06:22:37,2024-01-17T17:56:11,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
