name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barranquilla,2024-01-18,32.2,26,28.5,37.2,26,31.6,23.3,74.2,0,0,0,,0,0,51.5,24.2,32.5,1008.8,26.1,10,252,21.9,9,10,2024-01-18T06:22:47,2024-01-18T17:56:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-19,34.1,25,28.7,40.6,25,32,23.4,74,0,0,0,,0,0,54,20.2,30.7,1008.3,22.5,10,253.7,22,9,10,2024-01-19T06:22:55,2024-01-19T17:57:10,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-20,33,25,28.2,39.3,25,31.3,24.2,79.8,0,0,0,,0,0,50.8,22.4,28.7,1008.3,31.5,9.5,255.6,22.2,9,15,2024-01-20T06:23:02,2024-01-20T17:57:40,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-21,33.2,25.8,28.5,38.5,25.8,31.9,23.8,76.7,0,0,0,,0,0,52.6,24.7,28.1,1009.4,18,9.9,256.7,22.3,9,8,2024-01-21T06:23:08,2024-01-21T17:58:08,0.36,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-22,32.2,26,28.6,36.5,26,31.5,22.5,70.1,0,0,0,,0,0,52.2,31.9,35,1008.9,16.8,10,257.3,22.3,9,10,2024-01-22T06:23:13,2024-01-22T17:58:37,0.39,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-23,33,25.9,28.3,38.1,25.9,30.7,22.5,71.6,0,0,0,,0,0,61.6,25.8,30.9,1008.4,25.8,10,258.5,22.3,9,10,2024-01-23T06:23:17,2024-01-23T17:59:04,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-24,32.1,25.8,28.2,36,25.8,30.8,22.7,72.7,0,0,0,,0,0,55.4,31.3,31.1,1008.5,36.8,10,258.7,22.4,9,10,2024-01-24T06:23:20,2024-01-24T17:59:32,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-25,32.1,25,27.9,35.9,25,29.9,22.4,73.1,0,0,0,,0,0,55.1,23.9,30.2,1008.6,21,10,262.5,22.7,9,10,2024-01-25T06:23:22,2024-01-25T17:59:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-26,32.1,24,27.4,35.8,24,28.9,22.4,75.3,0,0,0,,0,0,51.5,24.1,30.1,1009.8,19.4,9.8,264,22.8,9,10,2024-01-26T06:23:23,2024-01-26T18:00:25,0.53,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-27,33,24,27.7,38.1,24,29.4,22.9,76.7,0,0,0,,0,0,50.4,24.1,32.2,1010.7,23.8,9.2,262.9,22.7,9,10,2024-01-27T06:23:23,2024-01-27T18:00:50,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-28,33,23.8,27.3,38.2,23.8,29,22.9,78.2,0,0,0,,0,0,54,24.2,35.4,1010.7,20,9.8,262.3,22.7,9,10,2024-01-28T06:23:22,2024-01-28T18:01:16,0.6,Clear,Partly cloudy throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-29,32.9,25,27.7,38,25,29.3,22.7,75.3,0,0,0,,0,0,53.6,20.6,20.5,1010.2,21.1,10.1,263.8,22.8,9,10,2024-01-29T06:23:19,2024-01-29T18:01:40,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-30,33.8,25,27.8,39.2,25,29.7,23.1,76.6,0,0,0,,0,0,51.8,28.1,21.1,1010.5,22.3,10,262,22.7,9,10,2024-01-30T06:23:16,2024-01-30T18:02:04,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-01-31,30,25,27,35.1,25,28.8,23.7,82.5,0,0,0,,0,0,48.6,25.9,30.5,1011,39.1,9.8,258.4,22.3,9,10,2024-01-31T06:23:12,2024-01-31T18:02:27,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-01,30.1,25.8,27.1,35.2,25.8,29.2,23.8,82.6,0,0,0,,0,0,52.9,23.8,22.8,1011.1,47.8,9.6,254.5,21.9,9,10,2024-02-01T06:23:06,2024-02-01T18:02:50,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-02,29.1,25.9,27.1,33.7,25.9,29.5,23.9,83.1,0.2,100,4.17,rain,0,0,39.6,21.8,20,1010.7,73.1,10,183.8,16,8,10,2024-02-02T06:23:00,2024-02-02T18:03:12,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-03,33,26,28.5,39.3,26,32.1,24.2,78.4,0.6,100,20.83,rain,0,0,35.6,16.6,14.7,1009.8,54.7,9.9,228.8,19.6,8,30,2024-02-03T06:22:52,2024-02-03T18:03:34,0.79,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-04,33.9,25.9,28.9,40.5,25.9,32,23.7,75.5,0,0,0,,0,0,29.5,14.7,11.7,1008.5,32.8,9.7,250.2,21.7,9,10,2024-02-04T06:22:44,2024-02-04T18:03:55,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-05,33.1,23.1,27.6,40.6,23.1,29.8,23.7,80.9,0.5,100,16.67,rain,0,0,26.3,14.6,317.9,1008,31.2,9.1,220.8,19.1,9,30,2024-02-05T06:22:34,2024-02-05T18:04:15,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-06,33,24,27.6,39.3,24,30.4,23.2,78.2,3.3,100,54.17,rain,0,0,33.5,16.9,307.6,1010.4,45.7,10,210,18.2,9,30,2024-02-06T06:22:24,2024-02-06T18:04:35,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-07,29,24,26.1,31.9,24,27.3,22,78.7,0.1,100,4.17,rain,0,0,27.4,22.3,25.2,1013,54.3,9.4,180.3,15.7,9,10,2024-02-07T06:22:12,2024-02-07T18:04:54,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-08,30.2,24.9,26.9,32.6,24.9,28,21.3,72.3,0.2,100,8.33,rain,0,0,44.6,24.2,19.7,1013.2,31.4,10,256.4,22.1,9,10,2024-02-08T06:22:00,2024-02-08T18:05:12,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-09,32.1,25.9,28.3,35.9,25.9,30.5,22.3,70.8,0,0,0,,0,0,57.6,27.9,34.3,1010.9,26.2,10,271.3,23.5,9,10,2024-02-09T06:21:46,2024-02-09T18:05:30,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-10,32.1,25,28.3,38,25,31.4,23.3,74.9,0,0,0,,0,0,51.1,31.5,34.5,1009.3,21.1,9.6,272.9,23.7,9,10,2024-02-10T06:21:32,2024-02-10T18:05:47,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-11,33,26,29.1,40.6,26,33.3,23.9,74.1,0,0,0,,0,0,49.7,27.8,32.4,1008.2,17.2,10,273.7,23.8,9,10,2024-02-11T06:21:16,2024-02-11T18:06:03,0.06,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-12,33.9,26.1,28.8,41.7,26.1,32.8,23.8,75.3,0,0,0,,0,0,41.8,27.4,35.2,1008.3,34.9,9.9,275.5,23.8,9,8,2024-02-12T06:21:00,2024-02-12T18:06:19,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-13,33.2,24,28.1,39.8,24,31.3,24,80,0,0,0,,0,0,46.8,22.5,19.2,1009.3,36.3,9.1,275.1,23.7,9,10,2024-02-13T06:20:43,2024-02-13T18:06:34,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-14,32.1,26,28.3,38,26,31.9,24.3,79.7,0,0,0,,0,0,55.8,29.1,33.4,1009.4,38.4,9.3,277.7,23.9,10,10,2024-02-14T06:20:25,2024-02-14T18:06:49,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-15,32,26,28.4,38.7,26,32.2,24.4,79.6,0,0,0,,0,0,55.4,33.7,30.1,1008.7,25.4,9.5,278.9,23.9,10,30,2024-02-15T06:20:06,2024-02-15T18:07:03,0.2,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-16,34.8,25,28.9,42,25,32.9,24.1,76.3,0,0,0,,0,0,55.8,24,26.4,1007.7,29.9,9.1,277.1,23.9,9,15,2024-02-16T06:19:46,2024-02-16T18:07:16,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-17,33.2,26,29,42.2,26,33.6,24.6,77.6,0,0,0,,0,0,51.1,22.1,31.3,1007.1,34.1,9.7,276.6,24,9,30,2024-02-17T06:19:25,2024-02-17T18:07:29,0.27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-18,34.9,25.1,29.3,45.2,25.1,34.4,25.1,79,0,0,0,,0,0,41.8,14.7,9.2,1008.7,29.9,9,277,23.8,9,30,2024-02-18T06:19:04,2024-02-18T18:07:41,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-19,31.8,26.9,28.4,38.5,30.1,32.9,24.6,80.6,0,0,0,,0,0,47.5,22.3,14.8,1011.2,49.6,9.6,264.3,22.7,9,30,2024-02-19T06:18:42,2024-02-19T18:07:53,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-20,32,26.7,28.1,37.9,29,31.8,23.8,78,0,0,0,,0,0,53.3,24.2,27.9,1011.7,51.8,9.9,273.5,23.6,10,10,2024-02-20T06:18:19,2024-02-20T18:08:04,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-21,32.1,26.8,28.2,35,29.2,31,22.6,72.4,0,0,0,,0,0,52.6,33.1,22.8,1012.2,47,9.9,263.1,22.8,10,10,2024-02-21T06:17:55,2024-02-21T18:08:14,0.4,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-22,31.2,26,28.2,34.7,26,30.4,22,69.8,0,0,0,,0,0,44.6,22.2,19.9,1012,29.6,10,285.8,24.8,10,10,2024-02-22T06:17:30,2024-02-22T18:08:24,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-23,32,25,28.2,36.8,25,30.5,22.1,70.4,0,0,0,,0,0,46.4,25.4,35.7,1010.7,29.3,10,275.2,23.9,10,10,2024-02-23T06:17:05,2024-02-23T18:08:33,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-24,33.1,25.8,28.5,39.1,25.8,31.5,23.3,74.6,0,0,0,,0,0,49.7,21,36.1,1011.2,34.6,10,284.9,24.7,10,10,2024-02-24T06:16:39,2024-02-24T18:08:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-25,33,25.1,28.3,38,25.1,31.7,23.5,75.9,0,0,0,,0,0,56.2,25.9,32.7,1012.4,30.9,10.1,283.3,24.6,10,10,2024-02-25T06:16:12,2024-02-25T18:08:51,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-26,32.8,25.9,28.4,36.9,25.9,31.5,23,73.2,0,0,0,,0,0,52.9,25.9,33,1011.7,44.6,10,256,22.1,9,10,2024-02-26T06:15:45,2024-02-26T18:08:58,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-27,32,25,28.4,37.9,25,31.4,23.1,73.8,0,0,0,,0,0,55.4,31.7,35.7,1010.3,35.8,9.9,291.3,24.9,10,30,2024-02-27T06:15:17,2024-02-27T18:09:06,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-28,32.2,26,28.7,36.8,26,31.6,22.3,68.9,0,0,0,,0,0,55.4,35.1,32.2,1009.2,10,10,294.6,25.6,10,10,2024-02-28T06:14:48,2024-02-28T18:09:13,0.64,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-02-29,32.2,25.9,28.5,35.8,25.9,31,21.9,68.5,0,0,0,,0,0,52.9,33.4,31.7,1009.7,14.9,10,294.1,25.4,10,30,2024-02-29T06:14:19,2024-02-29T18:09:19,0.67,Clear,Clear conditions throughout the day.,clear-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-01,32,25,28.3,36.8,25,31,22.4,70.8,0,0,0,,0,0,56.2,33,32.6,1010.7,31.6,10,283.6,24.3,10,10,2024-03-01T06:13:49,2024-03-01T18:09:25,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-02,32.3,25,28.2,36.9,25,31,22.7,73.1,0,0,0,,0,0,53.6,28.1,29.1,1011.2,31.1,9.8,289.3,25,10,10,2024-03-02T06:13:19,2024-03-02T18:09:30,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-03,33,24.1,27.9,38.1,24.1,30.1,23,75.9,0,0,0,,0,0,44.6,25.9,32.5,1010.7,33.8,9.7,291,25,10,10,2024-03-03T06:12:48,2024-03-03T18:09:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-04,33.8,24.9,28.1,40,24.9,30.5,23.3,76.3,0,0,0,,0,0,52.9,22.6,33.9,1009.8,24,9.6,292.5,25.4,10,5,2024-03-04T06:12:17,2024-03-04T18:09:40,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-05,32.9,25.1,28.1,38,25.1,30.5,23.3,76.4,0,0,0,,0,0,50.8,24.2,27.8,1008.5,25.3,9.1,292.2,25.3,10,10,2024-03-05T06:11:45,2024-03-05T18:09:45,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-06,34.7,25.9,28.8,42.9,25.9,32.2,23.8,75.6,0,0,0,,0,0,51.1,22.4,28.2,1007.9,21.2,9.6,291.7,25.1,10,15,2024-03-06T06:11:13,2024-03-06T18:09:48,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-07,34.8,26,28.7,44.6,26,33.1,24.7,79.9,0,0,0,,0,0,54,25.5,29.4,1008.4,34.6,9.7,290,25,10,30,2024-03-07T06:10:40,2024-03-07T18:09:52,0.91,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-08,34.7,27,29.1,43.1,30.3,34.2,25,79.4,0,0,0,,0,0,52.2,24.2,28.1,1008.9,35.9,9.2,289.6,25.1,10,30,2024-03-08T06:10:07,2024-03-08T18:09:55,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-09,33.1,26,28.9,42.1,26,33.5,25.1,81.1,0,0,0,,0,0,56.9,25.7,27.7,1008.9,38.9,8.7,275,23.8,9,60,2024-03-09T06:09:33,2024-03-09T18:09:58,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-10,34,26,29.1,42.1,26,34.1,25.2,80.7,0,0,0,,0,0,54.7,25.8,30.7,1009,37.5,8.8,289.5,25.1,10,30,2024-03-10T06:08:59,2024-03-10T18:10:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-11,31.1,27,28.7,36.7,30.1,33,24.2,77.3,0,0,0,,0,0,64.4,32.2,30.9,1009.2,28.6,9.7,292.1,25.3,10,8,2024-03-11T06:08:25,2024-03-11T18:10:03,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-12,32.1,27,28.8,36.9,29.2,32.5,23.2,72.4,0,0,0,,0,0,61.9,27.9,27,1008.6,28.7,10,294.3,25.5,10,10,2024-03-12T06:07:51,2024-03-12T18:10:05,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-13,34.1,26.1,29.3,40.7,26.1,33.4,23.8,73.5,0,0,0,,0,0,57.2,29.5,31.8,1007.8,42.6,10,295.6,25.5,10,15,2024-03-13T06:07:16,2024-03-13T18:10:07,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-14,32.1,26.9,28.6,36.9,29.5,32.5,23.8,75.6,0,0,0,,0,0,57.2,25.8,26.5,1007.5,23.6,10,290.2,25,10,15,2024-03-14T06:06:41,2024-03-14T18:10:09,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-15,33.2,27,28.9,39.3,29.2,32.8,23.4,73,0,0,0,,0,0,59,26.1,31.6,1007.1,20.4,10,293.7,25.3,10,5,2024-03-15T06:06:05,2024-03-15T18:10:10,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM,80028099999,80009099999"
barranquilla,2024-03-16,34,26,28.6,41.9,26,32.5,24.3,78.2,0,0,0,,0,0,54,26,34.3,1006.6,27,9.2,293.8,25.4,10,5,2024-03-16T06:05:30,2024-03-16T18:10:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM"
barranquilla,2024-03-17,33,26,28.7,40.5,26,32.9,24.4,78,0,0,0,,0,0,53.3,24.3,30.8,1006.4,42,9.4,295.2,25.6,10,15,2024-03-17T06:04:54,2024-03-17T18:10:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SKBQ,SKSM"
